name,ID,developer,conversations,developer_urls,urls
Job,['M4QhFgclv'],By masterinterview.ai,25K+,https://masterinterview.ai/,
,,,,https://twitter.com/MSterInterviews,
Job - AI Job Search Copilot,['EGs2bp4NT'],By jobright.ai,50K+,https://jobright.ai/,
Recruiter Pro: Evaluate CV & Job Applicants,['oVBEbT7Gw'],By charlyaisolutions.com,10K+,https://charlyaisolutions.com/,http://www.linkedin.com/in/userprofile
,,,,,http://www.linkedin.com/in/userprofile
Interview & Resume/CV - Job & Career Coach ðŸ”¥,['MPzLx3VuB'],By community builder,50K+,,
"Merlin, the Job Application Wizard 1.2.5",['YMTYaHUGy'],By Feridoon Malekzadeh,25K+,https://feridoon.malekzadeh.net/,
,,,,https://twitter.com/doooon,
Job Application Coach - Job GPT,['seIb3wqLn'],By Kadir Celep,10K+,https://linkedin.com/in/kadircelep,
,,,,https://twitter.com/kadircelep,
